,citing author name,citing paper title,cited paper title,affiliation,latitude,longitude,county,city,state,country
266,Brenda C Straka,The rich get richer? Children's reasoning about socioeconomic status predicts inclusion and resource bias.,Emerging complexity in children's conceptualization of the wealthy and the poor,University of Illinois Urbana-Champaign,40.076154450000004,-88.22331340640494,Champaign County,Urbana,Illinois,United States
267,Shaocong Ma,The impact of sufferers' wealth status on pain perceptions: Its development and relation to allocation of healthcare resources,Emerging complexity in children's conceptualization of the wealthy and the poor,The Hong Kong University of Science and Technology,22.3358031,114.2659087549023,,Sai Kung District,Hong Kong,China
268,Michael Tomasello,"Children are eager to take credit for prosocial acts, and cost affects this tendency",In defense of the commons: Young children negatively evaluate and sanction free riders,Max Planck for Evolutionary Anthropology,51.3210522,12.394925046086962,,Leipzig,Saxony,Germany
269,Katherine McAuliffe,Children as assessors and agents of third-party punishment,To punish or to restore: how children evaluate victims' responses to immorality,Boston College,42.3354481,-71.16826648999114,Middlesex County,Newton,Massachusetts,United States
270,C Neil Macrae,People perception and stereotype-based responding: task context matters,Hard to disrupt: Categorization and enumeration by gender and race from mixed displays,University of Aberdeen,57.16452475,-2.1018363546621197,,Aberdeen City,Scotland,United Kingdom
271,Steven O. Roberts,Condemned or valued: Young children evaluate nonconformity based on nonconformists' group orientations,In defense of the commons: Young children negatively evaluate and sanction free riders,Stanford University,37.431313849999995,-122.16936535498309,Santa Clara County,,California,United States
272,William J Chopik,Cross-cultural comparisons in implicit and explicit age bias,To which world regions does the valence–dominance model of social perception apply?,Michigan State University,42.70237935,-84.48038686520441,Ingham County,East Lansing,Michigan,United States
273,Yarrow Dunham,Who Deserves to Be Rich? Children's and Adults' Judgments of the Wealthy,Emerging complexity in children's conceptualization of the wealthy and the poor,Yale University,41.25713055,-72.98966960152231,South Central Connecticut Planning Region,,Connecticut,United States
274,Jinting Liu (刘金婷),Bright side of the MAOA-uVNTR on trait and situational forgiveness,Children’s restorative justice in an intergroup context,Shenzhen University,22.53590225,113.93147487492186,,Nanshan District,Guangdong Province,China
275,James P. Dunlea,Children's and adults' understanding of punishment and the criminal justice system,In defense of the commons: Young children negatively evaluate and sanction free riders,Researcher,41.6567749,41.6398829,,Batumi,Autonomous Republic of Adjara,Georgia
276,Marianna Zhang,Structural Thinking and its Consequences: A Developmental Approach,Testing the limits of structural thinking about gender,New York University,40.729205300000004,-73.99501481290962,New York County,New York,New York,United States
277,Amrisha Vaish,Preferential forgiveness: The impact of group membership and remorse on preschoolers' forgiveness.,Minimal but meaningful: Probing the limits of randomly assigned social identities,University of Virginia,38.0410576,-78.50550841214823,Albemarle County,,Virginia,United States
278,Xin Yang,Beyond our tribe: Developing a normative sense of group-transcendent fairness.,Minimal but meaningful: Probing the limits of randomly assigned social identities,Yale University,41.25713055,-72.98966960152231,South Central Connecticut Planning Region,,Connecticut,United States
279,James P. Dunlea,Children's socio‐moral judgments and behaviors toward peers with and without incarcerated parents,Emerging complexity in children's conceptualization of the wealthy and the poor,Researcher,41.6567749,41.6398829,,Batumi,Autonomous Republic of Adjara,Georgia
280,Katie Vasquez,Expectations of intergroup empathy bias emerge by early childhood.,Which group matters more: The relative strength of minimal vs. gender and race group memberships in children's intergroup thinking,University of Chicago,41.79139685,-87.60084387193544,Cook County,Chicago,Illinois,United States
281,Katherine McAuliffe,How retributive motives shape the emergence of third‐party punishment across intergroup contexts,Minimal but meaningful: Probing the limits of randomly assigned social identities,Boston College,42.3354481,-71.16826648999114,Middlesex County,Newton,Massachusetts,United States
282,David Bjorklund,[BOOK][B] Child development in evolutionary perspective,In defense of the commons: Young children negatively evaluate and sanction free riders,Florida Atlantic University,26.119403650000002,-80.14169191096471,Broward County,Fort Lauderdale,Florida,United States
283,Richard E Ahl," original submission, before edits from the peer review process",Emerging complexity in children's conceptualization of the wealthy and the poor,Boston College,42.3354481,-71.16826648999114,Middlesex County,Newton,Massachusetts,United States
284,April Bailey,Biological essentialism correlates with (but doesn't cause?) intergroup bias,Minimal but meaningful: Probing the limits of randomly assigned social identities,University of Edinburgh,55.94407645,-3.1883735563964555,,City of Edinburgh,Scotland,United Kingdom
285,Theo Toppe,The influence of cooperation and competition on preschoolers' prosociality toward in-group and out-group members,Minimal but meaningful: Probing the limits of randomly assigned social identities,Max Planck Institute for Evolutionary Anthropology,51.3210522,12.394925046086962,,Leipzig,Saxony,Germany
286,Mohsen Joshanloo,No evidence of longitudinal association between religiosity and psychological well-being: Challenging prevailing assumptions,A many-analysts approach to the relation between religiosity and well-being,Keimyung University,35.8567134,128.4849417038743,,Daegu,,South Korea
287,Brian D. Earp," Relational morality in psychology and philosophy: past, present, and future",Beyond our tribe: Developing a normative sense of group-transcendent fairness.,Research Associate,38.791182000000006,-89.9902208884049,Madison County,Edwardsville,Illinois,United States
288,Abdullah Almaatouq,Beyond playing 20 questions with nature: Integrative experiment design in the social and behavioral sciences,To which world regions does the valence–dominance model of social perception apply?,Massachusetts Institute of Technology,42.3582529,-71.0966272383055,Middlesex County,Cambridge,Massachusetts,United States
289,Matthew J Phillips,“A Metamorphosis of Sorts”: Exploring the Conceptualisation of Women's Academic Identity in Australian Higher Education,Testing the limits of structural thinking about gender,Curtin University,-32.0057281,115.8929073394684,City of Belmont,,Western Australia,Australia
290,Rebecca M. Todd,Hear it here: Built environments predict ratings and descriptions of ambiguous sounds,Testing the automaticity features of the Affect Misattribution Procedure: The roles of awareness and intentionality,University of British Columbia,49.25783145,-123.24624198622213,Metro Vancouver Regional District,Electoral Area A,British Columbia,Canada
291,Julia Marshall,Beyond punishment: psychological foundations of restorative interventions,Children’s restorative justice in an intergroup context,Brown University,41.8186395,-71.4088008716793,Providence County,Providence,Rhode Island,United States
292,Hymie Anisman,"Medicine for the soul:(Non) religious identity, coping, and mental health during the COVID-19 pandemic",A many-analysts approach to the relation between religiosity and well-being,Carleton University,45.3858581,-75.69500411688679,,Ottawa,Ontario,Canada
293,Didar Karadag,Exploring selectivity in childrens knowledge transmission: The effects of group affiliation and knowledge type,Minimal but meaningful: Probing the limits of randomly assigned social identities,Lancaster University,54.009842899999995,-2.787576781958986,Lancashire,Lancaster,England,United Kingdom
294,Jan Engelmann,Children's sense of fairness as equal respect,In defense of the commons: Young children negatively evaluate and sanction free riders,UC Berkeley,37.875499649999995,-122.23906851395179,Alameda County,Berkeley,California,United States
295,Joshua C. Peterson,Deep models of superficial face judgments,To which world regions does the valence–dominance model of social perception apply?,Boston University,42.350421499999996,-71.10322831831216,Suffolk County,Boston,Massachusetts,United States
296,Eric Hehman,Dress is a fundamental component of person perception,To which world regions does the valence–dominance model of social perception apply?,McGill University,45.50688675,-73.57908551043636,Urban agglomeration of Montreal,Montreal,Quebec,Canada
297,"Aaron Adibe Agbo, Ph.D",Religiosity and well-being among Nigerians: Exploring the mediating role of fatalism,A many-analysts approach to the relation between religiosity and well-being,Enugu state,6.5536094,7.4143061,Udi,,Enugu State,Nigeria
298,Alexander Noyes,A developmental investigation of group concepts in the context of social hierarchy: Can the powerful impose group membership?,Testing the limits of structural thinking about gender,Boston College,42.3354481,-71.16826648999114,Middlesex County,Newton,Massachusetts,United States
299,Julia M. Rohrer,A causal framework for cross-cultural generalizability,To which world regions does the valence–dominance model of social perception apply?,University of Leipzig,51.3377286,12.388603,,Leipzig,Saxony,Germany
300,Friedrich M. Götz,Registered report: Social face evaluation: ethnicity-specific differences in the judgement of trustworthiness of faces and facial parts,To which world regions does the valence–dominance model of social perception apply?,University of British Columbia,49.25783145,-123.24624198622213,Metro Vancouver Regional District,Electoral Area A,British Columbia,Canada
301,Rachel Kranton,Oversampling of minority categories drives misperceptions of group compositions,Hard to disrupt: Categorization and enumeration by gender and race from mixed displays,Duke University,36.00015569999999,-78.94422972195878,Durham County,Durham,North Carolina,United States
302,Michael Hogg,What makes us “we”? The positivity bias in essentialist beliefs about group attributes,Minimal but meaningful: Probing the limits of randomly assigned social identities,Claremont Graduate University,34.110385199999996,-117.71758836815268,Los Angeles County,,California,United States
303,Lely Ika Mariyati,Influence of Religiosity on Occupational Well-Being and the Role of Mindfulness as a Mediator in Kindergarten Teachers as the SDGs Implementation,A many-analysts approach to the relation between religiosity and well-being,Universitas Muhammadiyah Sidoarjo,-7.3333072999999995,112.7828884813865,,Surabaya,East Java,Indonesia
304,Scott Claessens,Being specific about generalisability,A many-analysts approach to the relation between religiosity and well-being,UK,6.3110548,20.5447525,,,Ouaka,Central African Republic
305,Joseph Bulbulia,A half-Irish exit,A many-analysts approach to the relation between religiosity and well-being,Victoria University of Wellington,-36.8482415,174.76775596988733,,Auckland,Auckland,New Zealand
306,Juliane Degner,Age invariance in implicit bias: Alternative perspectives and their implications for the development of implicit cognition,Minimal but meaningful: Probing the limits of randomly assigned social identities,Hamburg University,53.5909051,9.975375829413123,,Hamburg,,Germany
307,Susanne Frick,Measurement issues in the many analysts religion project,A many-analysts approach to the relation between religiosity and well-being,TU Dortmund University,51.49148435,7.4122738886856805,,Dortmund,North Rhine-Westphalia,Germany
308,Merve Balkaya-Ince,Advantages of using multilevel modeling approaches for the Many Analysts Religion Project,A many-analysts approach to the relation between religiosity and well-being,Baylor University,31.55043405,-97.1102905567766,McLennan County,Waco,Texas,United States
309,Sally Y. Xie,Little between-region and between-country variance when people form impressions of others,To which world regions does the valence–dominance model of social perception apply?,Princeton University,40.33867515,-74.65836549131683,Mercer County,,New Jersey,United States
310,Caspar J. Van Lissa,"Complementing preregistered confirmatory analyses with rigorous, reproducible exploration using machine learning",A many-analysts approach to the relation between religiosity and well-being,Tilburg University,51.56306085,5.043598467727852,,Tilburg,North Brabant,Netherlands
311,Marius Golubickis,Comparing person and people perception: Multiple group members do not increase stereotype priming,Hard to disrupt: Categorization and enumeration by gender and race from mixed displays,University of Aberdeen,57.16452475,-2.1018363546621197,,Aberdeen City,Scotland,United Kingdom
312,Katarzyna Myślińska Szarek,Partner in crime: Beneficial cooperation overcomes children's aversion to antisocial others,In defense of the commons: Young children negatively evaluate and sanction free riders,University of Michigan,42.2942142,-83.71003893509601,Washtenaw County,Ann Arbor,Michigan,United States
313,Gail Heyman, Thinking structurally: A cognitive framework for understanding how people infer structural causes of inequality,Testing the limits of structural thinking about gender,UC San Diego,32.77249785,-117.1880311872546,San Diego County,San Diego,California,United States
314,严璘璘,Race categories modulated the perceived lightness of faces,Hard to disrupt: Categorization and enumeration by gender and race from mixed displays,浙江理工大学,30.31545455,120.3486958081547,,Qiantang District,Zhejiang,China
315,Eunike Mutiara Himawan,Religion and well-being in Indonesia: Exploring the role of religion in a society where being atheist is not an option,A many-analysts approach to the relation between religiosity and well-being,Universitas Pelita Harapan,3.5862691,98.6733159,,City of Medan,North Sumatra,Indonesia
316,Rachel Leshin, Brief Report: Structural explanations for inequality reduce children's biases and promote rectification only if they implicate the high-status group,Testing the limits of structural thinking about gender,Princeton University,40.33867515,-74.65836549131683,Mercer County,,New Jersey,United States
317,Elizabeth Spelke,[CITATION][C] Learning in the Early Years,In defense of the commons: Young children negatively evaluate and sanction free riders,Harvard,42.365743249999994,-71.12221394207614,Middlesex County,Cambridge,Massachusetts,United States
318,Thomas L. Griffiths,Beyond playing 20 questions with nature: Integrative experiment design in the social and behavioral sciences,To which world regions does the valence–dominance model of social perception apply?,Princeton University,40.33867515,-74.65836549131683,Mercer County,,New Jersey,United States
319,Kristin Laurin,Do reminders of God increase willingness to take risks?,A many-analysts approach to the relation between religiosity and well-being,University of British Columbia,49.25783145,-123.24624198622213,Metro Vancouver Regional District,Electoral Area A,British Columbia,Canada
320,Suzanne Hoogeveen,"Does she still love and feel hungry? Afterlife beliefs, mind-body dualism, and religion across 24 countries",A many-analysts approach to the relation between religiosity and well-being,University of Amsterdam,52.36813335,4.889804155733945,,Amsterdam,North Holland,Netherlands
321,Nanang Martono,Persepsi Siswa Miskin mengenai Perilaku Siswa Kaya di Sekolah,Emerging complexity in children's conceptualization of the wealthy and the poor,Universitas Jenderal Soedirman,-7.4033788000000005,109.2459047355122,Banyumas,Purwokerto,Central Java,Indonesia
322,Marjorie Rhodes,The influence of linguistic form and causal explanations on the development of social essentialism,Testing the limits of structural thinking about gender,New York University,40.729205300000004,-73.99501481290962,New York County,New York,New York,United States
323,Onah Nkechi G. Ph.D,Religiosity and well-being among Nigerians: Exploring the mediating role of fatalism,A many-analysts approach to the relation between religiosity and well-being,University of Nigeria,6.86410245,7.409739732182379,,,Enugu State,Nigeria
324,Katarzyna Myślińska Szarek,Partner in crime: Beneficial cooperation overcomes children's aversion to antisocial others,In defense of the commons: Young children negatively evaluate and sanction free riders,SWPS University,52.2483057,21.065389805881438,,Warsaw,Masovian Voivodeship,Poland
325,Shaocong Ma,The impact of sufferers' wealth status on pain perceptions: Its development and relation to allocation of healthcare resources,She succeeded despite lack of ability or resources: Children’s consideration of constraint in beliefs and reasoning about academic achievement.,The Hong Kong University of Science and Technology,22.3358031,114.2659087549023,,Sai Kung District,Hong Kong,China
326,Angelos-Miltiadis Krypotos,Resolving religious debates through a multiverse approach,A many-analysts approach to the relation between religiosity and well-being,KU Leuven,50.80571285,3.2915374489139757,Kortrijk,Kortrijk,West Flanders,Belgium
327,Andrei Cimpian,Political ideology in early childhood: Making the case for studying young children in political psychology,Testing the limits of structural thinking about gender,New York University,40.729205300000004,-73.99501481290962,New York County,New York,New York,United States
328,Julia Marshall,Children as assessors and agents of third-party punishment,In defense of the commons: Young children negatively evaluate and sanction free riders,Brown University,41.8186395,-71.4088008716793,Providence County,Providence,Rhode Island,United States
329,Kathryn A. Johnson, The interaction of faith and science mindsets predicts perceptions of the relationship between religion and science,A many-analysts approach to the relation between religiosity and well-being,Arizona State University,33.4213174,-111.93316305413154,Maricopa County,Tempe,Arizona,United States
330,Samuel A. Mehr,Developmental psychologists should adopt citizen science to improve generalization and reproducibility,To which world regions does the valence–dominance model of social perception apply?,Yale University,41.25713055,-72.98966960152231,South Central Connecticut Planning Region,,Connecticut,United States
331,Richard A. Klein,Resolving religious debates through a multiverse approach,A many-analysts approach to the relation between religiosity and well-being,FDA,6.08190165,-8.144175139008325,Tchien,,Grand Gedeh County,Liberia
332,Jamie Amemiya,Why are there no girls? Increasing children's recognition of structural causes of the gender gap in STEM,Testing the limits of structural thinking about gender,Occidental College,34.12719495,-118.20992029989196,Los Angeles County,Los Angeles,California,United States
333,Arin Korkmaz,Judging Guilt: Implicit Evaluations of Defendants Predict Verdicts,Testing the automaticity features of the Affect Misattribution Procedure: The roles of awareness and intentionality,Yale University,41.25713055,-72.98966960152231,South Central Connecticut Planning Region,,Connecticut,United States
334,Carlota Batres,Examining the “attractiveness halo effect” across cultures,To which world regions does the valence–dominance model of social perception apply?,Franklin,33.2002659,-95.2231752,Franklin County,,Texas,United States
335,Felix Holzmeister,Heterogeneity in effect size estimates,A many-analysts approach to the relation between religiosity and well-being,University of Innsbruck,47.26331595,11.384473309954492,,Innsbruck,Tyrol,Austria
336,Marjorie Rhodes,Structural explanations for inequality reduce children's biases and promote rectification only if they implicate the high-status group,Testing the limits of structural thinking about gender,New York University,40.729205300000004,-73.99501481290962,New York County,New York,New York,United States
337,Damian Scarf,Negative Intergroup Discrimination and Belonging in the Minimal Group Paradigm,Minimal but meaningful: Probing the limits of randomly assigned social identities,University of Otago,-45.8649793,170.51461487350844,Dunedin City,Dunedin,Otago,New Zealand
338,Suzanne Hoogeveen,Subjective evidence evaluation survey for many-analysts studies,A many-analysts approach to the relation between religiosity and well-being,University of Amsterdam,52.36813335,4.889804155733945,,Amsterdam,North Holland,Netherlands
339,Markus Paulus,The relationship between attachment representations and minimal intergroup bias in preschool‐aged children,Which group matters more: The relative strength of minimal vs. gender and race group memberships in children's intergroup thinking,Ludwig-Maximilians-Universität München,48.15047575,11.579835648337658,,Munich,Bavaria,Germany
340,Brett Mercier,Measurement issues in the many analysts religion project,A many-analysts approach to the relation between religiosity and well-being,University of Toronto,43.663461999999996,-79.39775966248058,,Toronto,Ontario,Canada
341,Paul K. Piff,Does belief in free will increase support for economic inequality?,In defense of the commons: Young children negatively evaluate and sanction free riders,Irvine,33.6856969,-117.825981,Orange County,Irvine,California,United States
342,"Weiwei Cai, SMIEEE",Quadratic polynomial guided fuzzy C-means and dual attention mechanism for medical image segmentation,Hard to disrupt: Categorization and enumeration by gender and race from mixed displays,Jiangnan University,31.48512185,120.26733518229403,,Binhu District,Jiangsu,China
343,Patricia Lockwood,Reinforcement learning of altruistic punishment differs between cultures and across the lifespan,Beyond our tribe: Developing a normative sense of group-transcendent fairness.,University of Birmingham,52.4522956,-1.9312856726008194,,Birmingham,England,United Kingdom
344,Belen Lopez-Perez,"Ire and punishment: incidental anger and costly punishment in children, adolescents, and adults",In defense of the commons: Young children negatively evaluate and sanction free riders,University of Manchester,53.466022550000005,-2.2330858190427176,,Manchester,England,United Kingdom
345,Alexandra Sarafoglou,When Reality Meets Perception: Well-Being Effects of Objective and Subjective Person-Culture Matches in Religiosity,A many-analysts approach to the relation between religiosity and well-being,University of Amsterdam,52.36813335,4.889804155733945,,Amsterdam,North Holland,Netherlands
346,Lin Bian,The development and predictors of a preference for strivers over naturals in the United States and China,Emerging complexity in children's conceptualization of the wealthy and the poor,University of Chicago,41.79139685,-87.60084387193544,Cook County,Chicago,Illinois,United States
347,Markus Paulus,Anticipation of future cooperation eliminates minimal ingroup bias in children and adults.,In defense of the commons: Young children negatively evaluate and sanction free riders,Ludwig-Maximilians-Universität München,48.15047575,11.579835648337658,,Munich,Bavaria,Germany
348,Suzanne Hoogeveen,Comparing analysis blinding with preregistration in the many-analysts religion project,A many-analysts approach to the relation between religiosity and well-being,University of Amsterdam,52.36813335,4.889804155733945,,Amsterdam,North Holland,Netherlands
349,Jan Engelmann,Chimpanzees consider freedom of choice in their evaluation of social action,In defense of the commons: Young children negatively evaluate and sanction free riders,UC Berkeley,37.875499649999995,-122.23906851395179,Alameda County,Berkeley,California,United States
350,Xin Yang,Children's restorative justice in an intergroup context,Minimal but meaningful: Probing the limits of randomly assigned social identities,Yale University,41.25713055,-72.98966960152231,South Central Connecticut Planning Region,,Connecticut,United States
351,Fan Yang,Beyond our tribe: Developing a normative sense of group-transcendent fairness.,Which group matters more: The relative strength of minimal vs. gender and race group memberships in children's intergroup thinking,The University of Chicago,41.79139685,-87.60084387193544,Cook County,Chicago,Illinois,United States
352,Katherine McAuliffe,Children hold an intuitive economic theory of diminishing marginal utility,Emerging complexity in children's conceptualization of the wealthy and the poor,Boston College,42.3354481,-71.16826648999114,Middlesex County,Newton,Massachusetts,United States
353,Bruno Schivinski,Consumer perceptions of food packaging in its role in fighting food waste,A many-analysts approach to the relation between religiosity and well-being,RMIT University,-37.80816075,144.96458315962926,,Melbourne,Victoria,Australia
354,Suzanne Hoogeveen,"Prevalence, patterns and predictors of paranormal beliefs in The Netherlands: a several-analysts approach",A many-analysts approach to the relation between religiosity and well-being,University of Amsterdam,52.36813335,4.889804155733945,,Amsterdam,North Holland,Netherlands
355,Michael S Landy, Face perception: A brief journey through recent discoveries and current directions,To which world regions does the valence–dominance model of social perception apply?,New York University,40.729205300000004,-73.99501481290962,New York County,New York,New York,United States
356,E. B. Gross,Children's gender essentialism and prejudice: Testing causal links via an experimental manipulation,Testing the limits of structural thinking about gender,Social Work,40.760940500000004,-111.84674755716645,Salt Lake County,Salt Lake City,Utah,United States
357,Barnaby Dixson,Facial hair may slow detection of happy facial expressions in the face in the crowd paradigm,To which world regions does the valence–dominance model of social perception apply?,University of the Sunshine Coast,-26.7184793,153.0651333458133,,Sunshine Coast Regional,Queensland,Australia
358,Patrick K Durkee,Is facial width-to-height ratio reliably associated with social inferences?,To which world regions does the valence–dominance model of social perception apply?,California State University,34.1799047,-117.3263,San Bernardino County,San Bernardino,California,United States
359,Onah Nkechi G. Ph.D,Religiosity and well-being among Nigerians: Exploring the mediating role of fatalism,A many-analysts approach to the relation between religiosity and well-being,Nigeria.,9.6000359,7.9999721,Kachia,Kurmin Musa,Kaduna State,Nigeria
360,Paweł Łowicki,"If not belief in God, then what? Identifying factors that contribute to well-being among Polish nonbelievers",A many-analysts approach to the relation between religiosity and well-being,Faculty of Psychology,55.756907749999996,37.612044219780984,,Moscow,Moscow,Russia
361,Sarah-Jane Leslie,How generic language shapes the development of social thought,Testing the limits of structural thinking about gender,Princeton University,40.33867515,-74.65836549131683,Mercer County,,New Jersey,United States
362,Jimmy Calanchini,Age invariance in implicit bias: Alternative perspectives and their implications for the development of implicit cognition,Minimal but meaningful: Probing the limits of randomly assigned social identities,University of California,37.875499649999995,-122.23906851395179,Alameda County,Berkeley,California,United States
363,Ori Friedman,Local or foreign? Flexibility in children's preference for similar others.,Minimal but meaningful: Probing the limits of randomly assigned social identities,University of Waterloo,43.4701994,-80.54524293779451,Region of Waterloo,Waterloo,Ontario,Canada
364,Yeseul Nam,Broadening the stimulus set: introducing the American multiracial faces database,To which world regions does the valence–dominance model of social perception apply?,University of Central Arkansas,35.07764105,-92.45799264108024,Faulkner County,Conway,Arkansas,United States
365,Ryan E Tracy,Preliminary evidence for neck musculature in shaping functional stereotypes of men's relationship motives,To which world regions does the valence–dominance model of social perception apply?,The Graduate Center,37.7679445,-122.40045044995752,,San Francisco,California,United States
366,Debbie Ma,The India Face Set: International and cultural boundaries impact face impressions and perceptions of category membership,To which world regions does the valence–dominance model of social perception apply?,California State University - Northridge,34.2455346,-118.52632210641266,Los Angeles County,Los Angeles,California,United States
367,Samuel A. Mehr,Developmental psychologists should adopt citizen science to improve generalization and reproducibility,To which world regions does the valence–dominance model of social perception apply?,School of Psychology,53.3816251,-1.493131,,Sheffield,England,United Kingdom
368,Jordan W. Moon,Religion as a natural laboratory for understanding human behavior,A many-analysts approach to the relation between religiosity and well-being,Brunel University London,51.5326092,-0.47404989072672915,,London,England,United Kingdom
369,Matthew J Phillips,[CITATION][C] Academia as a Culture: The 'Academy'for Women Academics,Testing the limits of structural thinking about gender,Curtin University,-32.0057281,115.8929073394684,City of Belmont,,Western Australia,Australia
370,Marianna Zhang,Children's structural thinking about social inequities,Testing the limits of structural thinking about gender,New York University,40.729205300000004,-73.99501481290962,New York County,New York,New York,United States
371,Daniel Yudkin,Children punish third parties to satisfy both consequentialist and retributive motives,In defense of the commons: Young children negatively evaluate and sanction free riders,University of Pennsylvania,39.950394450000005,-75.19467130666834,Philadelphia County,Philadelphia,Pennsylvania,United States
372,Melanie Killen,Creating a Society of Equals: Reducing Social Exclusion and Harassment in Schools,Emerging complexity in children's conceptualization of the wealthy and the poor,University of Maryland,48.0989816,11.582348947691202,,Munich,Bavaria,Germany
373,Shaocong Ma, The impact of sufferers' wealth status on pain perceptions,Emerging complexity in children's conceptualization of the wealthy and the poor,The Hong Kong University of Science and Technology,22.3358031,114.2659087549023,,Sai Kung District,Hong Kong,China
374,Laura Pareja Conto,Taking a developmental perspective on restorative justice in schools,Children’s restorative justice in an intergroup context,Concordia University,45.4952479,-73.57858216019235,Urban agglomeration of Montreal,Montreal,Quebec,Canada
375,Eddie Brummelman,"Unequal selves in the classroom: Nature, origins, and consequences of socioeconomic disparities in children's self-views.",Emerging complexity in children's conceptualization of the wealthy and the poor,University of Amsterdam,52.36813335,4.889804155733945,,Amsterdam,North Holland,Netherlands
376,Yarrow Dunham,Anticipation of future cooperation eliminates minimal ingroup bias in children and adults.,In defense of the commons: Young children negatively evaluate and sanction free riders,Yale University,41.25713055,-72.98966960152231,South Central Connecticut Planning Region,,Connecticut,United States
377,Lara Aknin,Does belief in free will increase support for economic inequality?,In defense of the commons: Young children negatively evaluate and sanction free riders,Simon Fraser University,49.276709600000004,-122.91780296438841,Metro Vancouver Regional District,Burnaby,British Columbia,Canada
378,Stephen H Chen,Effortful control is associated with ethnic minority children's pro-wealth biases and explanations across social domains.,Emerging complexity in children's conceptualization of the wealthy and the poor,Wellesley College,42.291776049999996,-71.3032751636105,Norfolk County,,Massachusetts,United States
379,Michiel van Elk,History repeating: guidelines to address common problems in psychedelic science,A many-analysts approach to the relation between religiosity and well-being,Leiden University,52.1686355,4.459702754883444,,Leiden,South Holland,Netherlands
380,Paul K. Piff,Does belief in free will increase support for economic inequality?,In defense of the commons: Young children negatively evaluate and sanction free riders,University of California,37.875499649999995,-122.23906851395179,Alameda County,Berkeley,California,United States
381,Justin Martin,Third-party punishment promotes fairness in children.,In defense of the commons: Young children negatively evaluate and sanction free riders,JPMorgan,50.7436923,-1.8309174192812279,"Bournemouth, Christchurch and Poole",,England,United Kingdom
382,Antonia Misch,The relationship between attachment representations and minimal intergroup bias in preschool‐aged children,Which group matters more: The relative strength of minimal vs. gender and race group memberships in children's intergroup thinking,LMU Munich,48.1566081,11.5829267,,Munich,Bavaria,Germany
383,Sally Y. Xie,Facial impressions are predicted by the structure of group stereotypes,To which world regions does the valence–dominance model of social perception apply?,Princeton University,40.33867515,-74.65836549131683,Mercer County,,New Jersey,United States
384,Kohitij Kãr,Multimodal investigations of emotional face processing and social trait judgment of faces,To which world regions does the valence–dominance model of social perception apply?,Toronto,43.6534817,-79.3839347,,Toronto,Ontario,Canada
385,Xi Shen,The Relation between updated implicit evaluations and the Trust Game,Testing the automaticity features of the Affect Misattribution Procedure: The roles of awareness and intentionality,University of Pennsylvania,39.950394450000005,-75.19467130666834,Philadelphia County,Philadelphia,Pennsylvania,United States
386,Katherine McAuliffe,Developing conceptions of forgiveness across the lifespan,Children’s restorative justice in an intergroup context,Boston College,42.3354481,-71.16826648999114,Middlesex County,Newton,Massachusetts,United States
387,Matthew J Phillips,Perspective Chapter: Academia as a Culture-The 'Academy'for Women Academics,Testing the limits of structural thinking about gender,Curtin University,-32.0057281,115.8929073394684,City of Belmont,,Western Australia,Australia
388,Shaocong Ma,The impact of sufferers' wealth status on pain perceptions: Its development and relation to allocation of healthcare resources,Emerging complexity in children's conceptualization of the wealthy and the poor,The Hong Kong University of Science,22.41868445,114.21446752013819,,Sha Tin District,Hong Kong,China
389,Mitch Brown,Preliminary evidence for neck musculature in shaping functional stereotypes of men's relationship motives,To which world regions does the valence–dominance model of social perception apply?,University of Arkansas,36.0970389,-94.17033216657404,Washington County,Fayetteville,Arkansas,United States
390,Yuhang Shu,The impact of sufferers' wealth status on pain perceptions: Its development and relation to allocation of healthcare resources,She succeeded despite lack of ability or resources: Children’s consideration of constraint in beliefs and reasoning about academic achievement.,University of Virginia,38.0410576,-78.50550841214823,Albemarle County,,Virginia,United States
391,DongWon Oh,Personality across world regions predicts variability in the structure of face impressions,To which world regions does the valence–dominance model of social perception apply?,National University of Singapore,1.2962018,103.77689765953073,,Singapore,,Singapore
392,Simine Vazire,Reckoning with our crisis: An agenda for the field of social and personality psychology,To which world regions does the valence–dominance model of social perception apply?,University of Melbourne,-37.82412055,144.91681106410988,,Melbourne,Victoria,Australia
393,Katherine McAuliffe,Having less means wanting more: Children hold an intuitive economic theory of diminishing marginal utility,Emerging complexity in children's conceptualization of the wealthy and the poor,Boston College,42.3354481,-71.16826648999114,Middlesex County,Newton,Massachusetts,United States
394,Xin Zhao,She succeeded despite lack of ability or resources: Children's consideration of constraint in beliefs and reasoning about academic achievement.,Emerging complexity in children's conceptualization of the wealthy and the poor,East China Normal University,31.2284923,121.40211388976886,,Putuo District,Shanghai,China
395,Dominik Deffner,A causal framework for cross-cultural generalizability,To which world regions does the valence–dominance model of social perception apply?,Philipps-University Marburg,50.8124763,8.772234461351456,Landkreis Marburg-Biedenkopf,,Hesse,Germany
396,Max Weisbuch,Ensemble perception of emotion: Incidental effects of social identity.,Hard to disrupt: Categorization and enumeration by gender and race from mixed displays,University of Denver,39.6783106,-104.96247276308813,,Denver,Colorado,United States
